"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-26","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"52",",,W","43",",,W",,,"  270",",,W","  300",",,W","10.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-27","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"56",",,W","39",",,W",,,"  240",",,W","  250",",,W","14.1",",,W","21.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-02-28","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"61",",,W","42",",,W",,,"  260",",,W","  250",",,W","15.0",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-01","5.14",",,W",,,"0.38",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"60",",,W","44",",,W",,,"   70",",,W","   60",",,W","13.0",",,W","17.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-02","10.51",",,W",,,"1.86",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"44",",,W","34",",,W",,,"   50",",,W","  360",",,W","21.0",",,W","35.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-03","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"49",",,W","36",",,W",,,"   30",",,W","   30",",,W","25.1",",,W","42.9",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-04","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"44",",,W","34",",,W",,,"   20",",,W","   10",",,W","21.9",",,W","31.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-05","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"43",",,W","33",",,W",,,"   40",",,W","   40",",,W","16.1",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-06","4.70",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"47",",,W","32",",,W",,,"  160",",,W","  170",",,W","15.0",",,W","23.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-07","10.07",",,W",,,"1.41",",,W,2400","3.2",",,W,2400","0.0",",,W,2400",,,"39",",,W","33",",,W",,,"   60",",,W","   70",",,W","21.9",",,W","35.1",",,W","    1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-08","6.04",",,W",,,"0.00","T,,W,2400","0.0","T,,W,2400","3.1",",,W,2400",,,"39",",,W","33",",,W",,,"  280",",,W","  280",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-09","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","2.0",",,W,2400",,,"42",",,W","30",",,W",,,"  270",",,W","  260",",,W","17.0",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-10","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"40",",,W","31",",,W",,,"  280",",,W","  270",",,W","17.0",",,W","25.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-11","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"45",",,W","32",",,W",,,"  310",",,W","  310",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-12","8.50",",,W",,,"0.08",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"43",",,W","32",",,W",,,"   70",",,W","   50",",,W","17.0",",,W","23.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-13","8.50",",,W",,,"0.28",",,W,2400","0.0","T,,W,2400","0.0","T,,W,2400",,,"40",",,W","33",",,W",,,"  290",",,W","  280",",,W","16.1",",,W","28.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-14","10.96",",,W",,,"0.01",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"41",",,W","31",",,W",,,"  260",",,W","  250",",,W","19.9",",,W","31.1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-15","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"48",",,W","32",",,W",,,"  250",",,W","  280",",,W","17.0",",,W","31.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-16","9.84",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"40",",,W","30",",,W",,,"  280",",,W","  280",",,W","19.9",",,W","42.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-17","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"48",",,W","27",",,W",,,"  280",",,W","  280",",,W","17.0",",,W","27.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-18","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"43",",,W","28",",,W",,,"  310",",,W","  310",",,W","16.1",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-19","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"47",",,W","33",",,W",,,"   50",",,W","   20",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-03-20","8.95",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"39",",,W","30",",,W",,,"   70",",,W","   60",",,W","16.1",",,W","23.0",",,W",,,,,,,,,,,,
